feature,importance
categorical__payment_method_COD,0.17880594560165547
numeric__price_inr,0.13226728154427536
numeric__delivery_distance_km,0.09567454153021013
numeric__customer_tenure_days,0.09001289001920373
numeric__delivery_days,0.08844907146116973
numeric__discount_pct,0.08592219836361278
numeric__num_previous_orders,0.0630226950878971
numeric__num_previous_returns,0.0460257198622096
categorical__payment_method_Prepaid_Card,0.04125936947340746
numeric__rating_given,0.03962689264659665
categorical__payment_method_Prepaid_UPI,0.036781852370532095
categorical__product_category_Apparel,0.024548729767922318
categorical__product_category_Footwear,0.017950879314483872
categorical__product_category_Beauty,0.013334170191053074
categorical__product_category_Electronics,0.013290036145716135
categorical__payment_method_Wallet,0.01235449673198592
categorical__product_category_Home,0.010367128570659
numeric__is_weekend_order,0.010306101317409565
